即	0	800
⺻	01	668
寻	01	800
聿	01	670
彐	01	669
尋	011	800
鄩	011212	669
彠	011214	670
尋	011214	669
寻	01124	670
彟	011244	670
衋	011384	669
录	012	800
肀	012	667
肃	0123	800
肅	01232	800
肅	012322	670
肃	012324	670
粛	012324	669
歗	012324	668
鹔	012326	670
鷫	012326	669
隶	0124	800
剥	01241	800
剥	012412	670
逮	012414	670
录	012414	669
隶	012414	668
逯	012414	667
盝	012414	666
帇	0125	670
尹	013	669
群	0138	800
君	01380	670
群	013802	669
羣	013802	668
裠	013804	670
郡	013805	670
覠	013805	669
帬	013805	668
鵘	013806	669
頵	013808	669
焄	013809	670
帚	014	800
帚	014525	670
彚	014582	670
建	015	800
建	0154	670
灵	016	800
彛	016832	670
彞	016852	670
灵	0169	670
賮	016928	670
盡	01698	800
盡	016984	669
書	018	800
書	0181	668
晝	01811	669
畫	0183	800
畫	01831	670
劃	018312	670
畵	01835	800
畵	018352	668
夛	0190	670
出	02	670
韋	02	669
爿	02	668
祟	021	800
韎	02112	670
祟	021124	670
牀	0212	670
牆	021231	670
狀	021344	670
韍	021354	670
戕	0215	800
戕	021534	670
韡	021712	670
韤	021784	670
韚	0218	670
牁	02180	800
牁	021802	670
韢	021815	670
韛	021832	670
牃	021852	670
韘	021852	669
壯	0219	670
奘	02191	800
弉	021912	670
奘	021914	670
裝	02194	800
裝	021944	670
娤	021959	670
焋	021969	670
韥	021988	670
銺	021991	670
韒	022411	670
斨	0233	670
牄	023440	670
欪	023534	670
韟	023812	670
韜	0239	800
韜	023998	670
牂	024	800
韕	024158	670
牂	02432	670
違	0245	800
違	02454	670
韗	024577	670
牅	024702	670
郼	0252	670
韌	02534	670
韖	025412	670
妝	0259	670
粜	026	800
粜	0268	670
糶	026801	670
韔	0278	670
韝	027821	670
韠	028112	670
韞	028184	670
韣	028436	670
將	029	800
奬	0290	800
漿	02901	800
槳	029012	670
將	029014	670
奬	029014	669
漿	029014	668
獎	029014	667
醬	029015	670
螿	029016	670
墏	029019	670
韐	0294	670
既	03	800
艮	03	670
暨	031	800
暨	031531	670
槩	031532	670
既	031535	670
鱀	031535	669
塈	031539	670
垦	0319	670
退	034	800
退	03454	670
即	0352	670
堲	03521	800
堲	035219	670
恳	036	800
恳	0365	670
鵖	0396	670
羽	04	670
羿	041	800
羾	04121	670
翄	041254	670
羿	04132	670
頨	041328	670
翜	041344	668
翇	041354	669
戳	043	800
翐	043114	668
翟	0432	800
翟	043241	669
戳	043244	670
鸐	043246	668
翭	043254	667
鹨	0434	800
雡	043431	668
剹	043432	670
鄝	043432	669
翏	043433	670
勠	043433	669
戮	043434	669
鹨	043436	670
鷚	043436	669
顟	043438	669
翪	043450	669
翂	043453	668
翆	043512	668
翑	043530	670
習	0438	800
習	04381	670
翫	043815	670
飁	043818	670
翠	044	800
翯	0441	800
翞	044124	670
翠	044132	670
翯	044180	670
翚	0445	800
翚	044577	670
翬	044577	669
翍	045324	670
翌	046	800
翋	0461	670
翌	0461	669
翣	046159	670
翴	047744	670
翼	048	800
翀	0480	800
翀	04802	670
翨	048176	669
翼	048314	670
翵	0496	670
毣	0497	670
巡	05	800
巜	05	670
巛	05	669
煭	051329	670
邋	052	800
邋	052534	670
巤	052535	670
巡	05454	670
廵	0554	670
災	056	800
災	0569	670
巢	058	800
邕	0580	800
雝	058051	670
邕	058055	670
剿	0581	800
鄛	058112	670
巢	058112	669
剿	058112	668
勦	058113	670
甾	0583	670
疀	058314	670
鶅	058396	670
母	06	670
毋	06	669
毌	06	668
贯	062	800
贯	0628	670
貫	0628	669
遦	062844	670
袰	064134	670
毑	06525	670
尽	07	800
尸	07	670
辟	07	669
叚	07	668
屈	070	800
屈	0702	670
屫	070290	670
鶌	070296	670
屋	071	800
慰	0711	800
尉	07112	800
犚	071121	670
