一万八千	1.153.34.312
一上一下	1.21.1.124
一不小心	1.1324.234.65
一不留神	1.1324.3545.6283
一不留神	1.1324.354533.6283
一专多能	1.1154.909.5
一专多能	1.1154.9090.542515
一世龙门	1.185.13534.42
一丘一壑	1.98.1.879
一丘一壑	1.98.1.879459
一丘之貉	1.98.454.3990
一丘之貉	1.98.454.399080
一丝一毫	1.55551.1.419
一丝一毫	1.55551.1.4197
一丝不挂	1.55551.1324.1019
一丝不挂	1.55551.1324.101919
一丝不苟	1.55551.1324.173580
一丝凉意	1.55551.414.618
一丝凉意	1.55551.414124.618165
一两分钟	1.1253.345.918
一两分钟	1.125344.3453.91802
一个一个	1.342.1.342
一个下午	1.342.124.3112
一个个来	1.342.342.168
一个中心	1.342.802.65
一个人住	1.342.34.324
一个人住	1.342.34.32411
一个人走	1.342.34.76
一个假期	1.342.320.703
一个假期	1.342.3207.7036
一个劲儿	1.342.5412.35
一个劲儿	1.342.541213.35
一个半个	1.342.432.342
一个半月	1.342.432.36
一个多月	1.342.909.36
一个多月	1.342.9090.36
一个小孩	1.342.234.584
一个小孩	1.342.234.584154
一个小时	1.342.234.811
一个小时	1.342.234.81124
一个新的	1.342.611.3
一个新的	1.342.611233.381354
一个新闻	1.342.611.427
一个新闻	1.342.611233.4272
一个星期	1.342.8137.703
一个星期	1.342.81371.7036
一个晚上	1.342.813.21
一个晚上	1.342.813585.21
一个暑假	1.342.8119.320
一个暑假	1.342.811931.3207
一个月前	1.342.36.4325
一个月前	1.342.36.432512
一个月后	1.342.36.331
一个月后	1.342.36.33180
一个样子	1.342.1243.58
一个样子	1.342.12432.58
一个班级	1.342.1143.55354
一个班级	1.342.114311.55354
一个网页	1.342.25343.1328
一个网页	1.342.253434.1328
一个耳光	1.342.72.24
一个耳光	1.342.72.2435
一个问号	1.342.428.8015
一个问号	1.342.4280.8015
一个问题	1.342.428.8176
一个问题	1.342.4280.817618
一举一动	1.643.1.11545
一举一动	1.643412.1.115453
一举两得	1.643.1253.338
一举两得	1.643412.125344.338114
一举中标	1.643.802.1211
一举中标	1.643412.802.121124
一举多得	1.643.909.338
一举多得	1.643412.9090.338114
一举成功	1.643.135.12153
一举成功	1.643412.135534.12153
一举成名	1.643.135.90
一举成名	1.643412.135534.9080
一九八四	1.35.34.84
一了百了	1.52.1381.52
一了百当	1.52.1381.240
一了百当	1.52.1381.2401
一争高下	1.3501.418.124
一争高下	1.35012.4180.124
一事无成	1.180.113.135
一事无成	1.180012.1135.135534
一五一十	1.1251.1.12
一些单位	1.21351.4381.3261
一些单位	1.213511.438112.3261
一些问题	1.21351.428.8176
一些问题	1.213511.4280.817618
一亲芳泽	1.6112.1760.445412
一人一个	1.34.1.342
一人一份	1.34.1.32345
一人一份	1.34.1.323453
一人之下	1.34.454.124
一人得道	1.34.338.4338
一人得道	1.34.338114.433824
一介书生	1.3432.5524.371
一仍旧贯	1.3253.281.062
一仍旧贯	1.3253.281.0628
一代新人	1.32154.611.34
一代新人	1.32154.611233.34
一代楷模	1.32154.121531.1217
一代楷模	1.32154.121531.121784
一代风流	1.32154.353.444
一代风流	1.32154.3534.444155
一以当十	1.543.240.12
一以当十	1.5434.2401.12
一以贯之	1.543.062.454
一以贯之	1.5434.0628.454
一件事情	1.3231.180.497
一件事情	1.3231.180012.497121
一份快餐	1.32345.495.219
一份快餐	1.323453.495134.219050
一会儿就	1.341.35.41
一会儿就	1.341154.35.412344
一体同心	1.32121.25.65
一体同心	1.32121.25180.65
一傅众咻	1.321254.34343.803212
一傅众咻	1.321254.343434.803212
一元复始	1.1135.3181.59548
一元复始	1.1135.318190.595480
一元方程	1.1135.60.92801
一元方程	1.1135.60.928011
一再嘱咐	1.1252.80073.80321
一再嘱咐	1.125211.800734.803214
一再强调	1.1252.578.4035
一再强调	1.125211.578026.403510
一决胜负	1.4151.363.3528
一决胜负	1.415134.36371.3528
一决雌雄	1.4151.21353.13543
一决雌雄	1.415134.213531.135431
一刀两断	1.53.1253.6853
一刀两断	1.53.125344.68533
一分一毫	1.345.1.419
一分一毫	1.3453.1.4197
一分为三	1.345.4.111
